Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Wake County Schools,920452,Jeffreys Grove Elementary,North Central,PK-05,,B,74,76.7,65.0,Not Met,-2.99,B,82,81.8,82.9,Met,1.16
Wake County Schools,920453,Jones Dairy Elementary,North Central,PK-05,,B,77,75.0,82.5,Met,1.03,B,83,81.1,88.3,Exceeded,3.34
Wake County Schools,920454,Heritage Elementary,North Central,PK-05,,B,74,73.5,76.5,Met,-0.69,B,78,76.9,83.6,Met,1.44
Wake County Schools,920456,Joyner Elementary,North Central,PK-05,,C,63,63.0,65.3,Not Met,-2.93,C,64,60.7,77.0,Met,-0.60
Wake County Schools,920457,Holly Grove Elementary,North Central,PK-05,,B,72,73.2,68.9,Not Met,-2.21,B,76,81.6,54.9,Not Met,-7.03
Wake County Schools,920458,Holly Grove Middle,North Central,06-08,,C,68,63.6,83.7,Met,1.49,C,65,61.2,79.2,Met,-0.15
Wake County Schools,920459,Hortons Creek Elementary,North Central,PK-05,,B,83,81.2,87.9,Exceeded,3.19,A,85,85.4,83.0,Met,1.22
Wake County Schools,920460,Kingswood Elementary,North Central,PK-05,Y,C,59,53.0,82.3,Met,0.95,C,58,51.9,81.5,Met,0.62
Wake County Schools,920464,Knightdale Elementary,North Central,PK-05,Y,D,47,40.6,73.5,Met,-1.30,D,54,44.2,93.0,Exceeded,5.83
Wake County Schools,920467,Laurel Park Elementary,North Central,PK-05,,C,69,69.8,64.4,Not Met,-3.12,B,75,70.8,92.3,Exceeded,5.39
Wake County Schools,920468,Lacy Elementary,North Central,PK-05,,B,72,72.3,69.1,Not Met,-2.18,B,70,70.1,67.3,Not Met,-2.54
Wake County Schools,920469,Leesville Road Elementary,North Central,0K-05,,B,71,71.1,69.5,Not Met,-2.09,B,76,74.9,82.4,Met,0.99
Wake County Schools,920470,Lead Mine Elementary,North Central,0K-05,,D,53,50.5,62.3,Not Met,-3.54,C,61,56.1,81.1,Met,0.47
Wake County Schools,920471,Leesville Road Middle,North Central,06-08,,C,69,64.0,90.7,Exceeded,4.45,B,73,68.1,94.3,Exceeded,6.60
Wake County Schools,920472,Ligon Middle,North Central,06-08,,B,70,70.9,68.3,Not Met,-2.34,C,63,65.1,56.9,Not Met,-5.81
Wake County Schools,920474,Lake Myra Elementary,North Central,PK-05,Y,D,51,41.6,88.1,Exceeded,3.27,D,53,42.3,94.6,Exceeded,6.77
Wake County Schools,920476,Lincoln Heights Elementary,North Central,PK-05,,C,60,54.1,83.4,Met,1.37,D,54,46.6,85.1,Exceeded,2.05
Wake County Schools,920480,Lockhart Elementary,North Central,PK-05,Y,D,42,32.6,79.1,Met,-0.17,D,43,33.5,80.9,Met,0.38
Wake County Schools,920484,Lufkin Road Middle,North Central,06-08,,B,74,71.4,86.7,Exceeded,2.69,C,68,66.0,76.2,Met,-0.76
Wake County Schools,920488,Lynn Road Elementary,North Central,PK-05,Y,D,54,47.3,78.3,Met,-0.33,C,56,48.2,89.4,Exceeded,3.77
Wake County Schools,920492,Martin Middle,North Central,06-08,,C,67,67.1,65.6,Not Met,-2.88,C,62,63.0,58.3,Not Met,-4.99
Wake County Schools,920494,Middle Creek Elementary,North Central,PK-05,,C,64,59.8,80.0,Met,0.00,B,71,67.2,84.3,Met,1.73
Wake County Schools,920496,Millbrook Elementary,North Central,PK-05,Y,D,44,36.2,72.7,Met,-1.46,F,38,32.6,59.6,Not Met,-4.19
Wake County Schools,920501,Mills Park Elementary,North Central,PK-05,,B,82,86.4,61.9,Not Met,-3.61,B,84,88.9,65.8,Not Met,-2.84
Wake County Schools,920502,Mills Park Middle,North Central,06-08,,A,89,87.6,92.7,Exceeded,5.65,A,92,90.5,100.0,Exceeded,12.40
Wake County Schools,920504,Morrisville Elementary,North Central,0K-05,,B,76,78.3,67.9,Not Met,-2.42,B,75,78.5,61.7,Not Met,-3.65
Wake County Schools,920506,Moore Square Middle,North Central,06-08,,B,71,74.1,57.9,Not Met,-5.23,B,70,71.2,62.8,Not Met,-3.43
Wake County Schools,920512,North Garner Middle,North Central,06-08,Y,D,50,41.2,83.0,Met,1.22,D,47,38.7,80.3,Met,0.15
Wake County Schools,920514,North Forest Pines Elementary,North Central,PK-05,,C,66,66.6,64.2,Not Met,-3.15,B,71,67.4,84.6,Met,1.84
Wake County Schools,920516,North Ridge Elementary,North Central,PK-05,,C,60,54.7,81.7,Met,0.71,C,60,58.5,66.5,Not Met,-2.70
Wake County Schools,920520,Northwoods Elementary,North Central,PK-05,,C,68,68.5,63.6,Not Met,-3.27,C,69,67.5,74.5,Met,-1.09
Wake County Schools,920521,Oakview Elementary,North Central,PK-05,,B,70,69.3,74.7,Met,-1.05,B,76,74.2,80.7,Met,0.31
Wake County Schools,920522,Oak Grove Elementary,North Central,PK-05,,C,65,62.4,74.1,Met,-1.18,C,66,62.1,80.4,Met,0.18
Wake County Schools,920523,Olive Chapel Elementary,North Central,PK-05,,A,85,84.7,84.7,Met,1.91,A,86,87.0,80.0,Met,0.01
Wake County Schools,920524,Olds Elementary,North Central,PK-05,,B,72,71.9,71.6,Met,-1.67,B,70,67.4,80.6,Met,0.27
Wake County Schools,920525,Partnership Elementary,North Central,0K-05,,C,66,61.7,81.0,Met,0.40,C,61,58.4,69.8,Not Met,-2.03
Wake County Schools,920527,Parkside Elementary,North Central,PK-05,,B,78,78.3,76.1,Met,-0.78,B,80,80.1,80.7,Met,0.28
Wake County Schools,920529,Pine Hollow Middle,North Central,06-08,,B,76,73.9,82.4,Met,0.97,B,80,77.4,89.5,Exceeded,3.83
Wake County Schools,920530,Penny Road Elementary,North Central,0K-05,,C,68,64.3,84.3,Met,1.73,C,67,62.8,82.2,Met,0.91
Wake County Schools,920531,Pleasant Union Elementary,North Central,PK-05,,B,75,74.8,77.5,Met,-0.49,B,76,78.9,64.0,Not Met,-3.19
Wake County Schools,920532,Poe Elementary,North Central,PK-05,Y,C,59,53.2,80.6,Met,0.25,C,60,51.8,92.2,Exceeded,5.34
Wake County Schools,920533,Pleasant Grove Elementary,North Central,PK-05,,C,60,54.9,82.6,Met,1.07,C,61,55.8,80.6,Met,0.27
Wake County Schools,920536,Powell Elementary,North Central,PK-05,Y,C,55,52.7,66.1,Not Met,-2.78,D,51,46.0,70.9,Met,-1.82
Wake County Schools,920540,Rand Road Elementary,North Central,PK-05,,D,53,46.1,79.4,Met,-0.12,D,52,47.3,71.6,Met,-1.67
Wake County Schools,920542,Reedy Creek Elementary,North Central,0K-05,Y,C,55,49.7,74.7,Met,-1.06,D,52,45.5,76.7,Met,-0.65
Wake County Schools,920543,Richland Creek Elementary,North Central,PK-05,Y,C,66,62.6,79.1,Met,-0.18,C,67,61.7,88.9,Exceeded,3.58
Wake County Schools,920544,Rolesville Elementary,North Central,PK-05,,C,59,51.9,86.2,Exceeded,2.51,C,64,56.7,92.3,Exceeded,5.41
Wake County Schools,920545,Rolesville Middle,North Central,06-08,,C,60,53.8,83.6,Met,1.44,D,50,46.4,62.4,Not Met,-3.52
Wake County Schools,920547,Rogers Lane Elementary,North Central,PK-05,Y,F,39,27.7,85.9,Exceeded,2.38,F,37,23.2,90.7,Exceeded,4.42
Wake County Schools,920548,Root Elementary,North Central,PK-05,,B,73,71.3,78.9,Met,-0.22,B,74,73.3,77.9,Met,-0.41
Wake County Schools,920549,River Bend Middle,North Central,06-08,Y,D,49,38.3,92.8,Exceeded,5.70,D,40,29.1,85.1,Exceeded,2.07
Wake County Schools,920550,Salem Elementary,North Central,PK-05,,B,70,67.1,82.6,Met,1.06,B,77,74.1,88.2,Exceeded,3.29
Wake County Schools,920551,Salem Middle,North Central,06-08,,B,74,73.6,78.0,Met,-0.40,B,79,75.9,90.9,Exceeded,4.58
Wake County Schools,920554,Sanford Creek Elementary,North Central,PK-05,,C,58,55.4,70.6,Met,-1.88,C,64,59.0,84.0,Met,1.63
Wake County Schools,920557,Scotts Ridge Elementary,North Central,PK-05,,B,76,76.0,75.2,Met,-0.95,B,83,84.5,76.6,Met,-0.67
Wake County Schools,920559,South Lakes Elementary,North Central,PK-05,,C,56,52.8,70.9,Met,-1.81,C,61,57.1,75.5,Met,-0.90
Wake County Schools,920560,Smith Elementary,North Central,PK-05,Y,D,52,45.5,79.0,Met,-0.19,C,55,48.2,84.1,Met,1.67
Wake County Schools,920563,Southeast Raleigh Elementary,North Central,PK-05,Y,F,36,24.4,80.6,Met,0.26,F,31,18.9,80.8,Met,0.34
Wake County Schools,920564,Stough Elementary,North Central,PK-05,,B,70,66.5,84.6,Met,1.86,B,70,66.1,86.4,Exceeded,2.57
Wake County Schools,920568,Swift Creek Elementary,North Central,0K-05,,C,62,55.8,88.5,Exceeded,3.43,C,61,56.3,77.9,Met,-0.42
Wake County Schools,920569,Sycamore Creek Elementary,North Central,PK-05,,B,74,73.6,74.3,Met,-1.14,B,80,79.2,85.1,Exceeded,2.04
Wake County Schools,920570,Timber Drive Elementary,North Central,PK-05,,C,59,53.3,80.0,Met,0.01,C,65,61.3,78.5,Met,-0.30
Wake County Schools,920571,Turner Creek Elementary,North Central,PK-05,,C,66,64.8,70.0,Met,-1.99,C,68,65.8,78.8,Met,-0.24
Wake County Schools,920572,Underwood Elementary,North Central,0K-05,,B,75,73.0,84.0,Met,1.63,B,81,81.0,78.8,Met,-0.24
Wake County Schools,920576,Vance Elementary,North Central,PK-05,,C,56,52.5,69.4,Not Met,-2.11,C,62,58.6,76.8,Met,-0.64
Wake County Schools,920580,Vandora Springs Elementary,North Central,PK-05,Y,D,46,39.2,71.9,Met,-1.61,C,56,47.8,89.6,Exceeded,3.85
Wake County Schools,920584,Wake Forest Elementary,North Central,PK-05,Y,D,53,47.9,72.9,Met,-1.42,C,57,51.5,79.3,Met,-0.14
Wake County Schools,920585,Wake Young Men's Leadership Academy,North Central,06-13,,B,84,87.9,70.4,Met,-1.92,A,85,86.3,81.2,Met,0.51
Wake County Schools,920586,Wake Young Women's Leadership Academy,North Central,06-13,,A,87,86.9,86.0,Exceeded,2.41,B,74,74.8,70.9,Met,-1.82
Wake County Schools,920592,Wake Forest Middle School,North Central,06-08,,D,48,44.6,61.3,Not Met,-3.73,D,48,41.4,72.6,Met,-1.47
Wake County Schools,920593,Wakefield Elementary,North Central,PK-05,Y,D,53,46.5,76.8,Met,-0.64,C,57,50.4,81.1,Met,0.44
Wake County Schools,920594,Wakefield Middle,North Central,06-08,,B,72,67.4,89.1,Exceeded,3.67,C,59,58.0,62.1,Not Met,-3.57
Wake County Schools,920596,Washington Elementary,North Central,0K-05,,C,67,69.3,58.2,Not Met,-5.03,B,70,69.3,73.3,Met,-1.33
Wake County Schools,920597,Wakelon Elementary,North Central,PK-05,Y,D,49,41.2,79.4,Met,-0.12,D,52,43.2,89.4,Exceeded,3.79
Wake County Schools,920598,Weatherstone Elementary,North Central,PK-05,,B,75,72.0,85.5,Exceeded,2.20,B,80,77.0,93.8,Exceeded,6.30
Wake County Schools,920599,Walnut Creek Elementary,North Central,PK-05,Y,D,40,28.9,86.6,Exceeded,2.64,D,49,38.9,90.5,Exceeded,4.31
Wake County Schools,920600,Wendell Elementary,North Central,0K-05,Y,D,44,36.1,74.1,Met,-1.18,D,44,36.1,76.3,Met,-0.74
Wake County Schools,920601,Wendell Middle,North Central,06-08,Y,D,54,45.3,88.0,Exceeded,3.23,D,40,29.8,79.5,Met,-0.09
Wake County Schools,920604,West Cary Middle,North Central,06-08,,B,74,72.6,80.8,Met,0.33,B,74,71.3,82.7,Met,1.08
Wake County Schools,920606,West Lake Elementary,North Central,PK-05,,C,67,65.2,73.8,Met,-1.24,B,73,68.6,91.4,Exceeded,4.86
Wake County Schools,920607,West Lake Middle,North Central,06-08,,C,60,54.8,80.2,Met,0.10,D,48,46.1,53.3,Not Met,-8.01
Wake County Schools,920608,West Millbrook Middle,North Central,06-08,,C,58,56.7,64.6,Not Met,-3.07,C,58,53.3,75.3,Met,-0.93
Wake County Schools,920614,White Oak Elementary,North Central,PK-05,,A,92,92.1,89.2,Exceeded,3.68,A,95,>95,92.6,Exceeded,5.56
Wake County Schools,920616,Wilburn Elementary,North Central,PK-05,Y,F,39,30.5,72.8,Met,-1.43,D,47,37.9,84.7,Met,1.91
Wake County Schools,920618,Wildwood Forest Elementary,North Central,PK-05,Y,D,47,38.2,83.1,Met,1.26,D,45,34.5,86.6,Exceeded,2.66
Wake County Schools,920620,Wiley Elementary,North Central,PK-05,,C,64,58.6,84.1,Met,1.66,C,60,56.2,77.3,Met,-0.54
Wake County Schools,920624,Willow Springs Elementary,North Central,0K-05,,B,72,71.2,73.7,Met,-1.25,B,78,77.5,80.6,Met,0.26
Wake County Schools,920626,Yates Mill Elementary,North Central,PK-05,Y,C,56,50.7,75.4,Met,-0.91,C,63,56.8,86.8,Exceeded,2.75
Wake County Schools,920628,York Elementary,North Central,PK-05,,C,62,60.1,71.3,Met,-1.74,C,61,59.0,70.8,Met,-1.83
Wake County Schools,920632,Zebulon Elementary,North Central,PK-05,Y,D,40,29.5,80.8,Met,0.34,F,39,29.9,75.2,Met,-0.95
Wake County Schools,920636,Zebulon Middle,North Central,06-08,Y,C,55,49.4,77.9,Met,-0.41,C,55,46.0,90.2,Exceeded,4.15
Warren County Schools,930330,Mariam Boyd Elementary,North Central,PK-05,Y,F,30,18.7,73.1,Met,-1.38,F,32,19.4,82.7,Met,1.08
Warren County Schools,930340,Northside K-8,North Central,PK-08,Y,F,37,28.6,72.9,Met,-1.42,F,32,20.3,79.5,Met,-0.09
Warren County Schools,930348,Vaughan Elementary,North Central,PK-05,Y,D,42,32.9,77.7,Met,-0.46,F,36,27.8,67.1,Not Met,-2.57
Warren County Schools,930354,Warren County Middle,North Central,06-08,Y,D,42,30.6,86.7,Exceeded,2.70,F,23,13.2,61.6,Not Met,-3.67
Washington County Schools,940306,Creswell Elementary,Northeast,PK-05,Y,D,46,36.4,83.0,Met,1.20,F,39,38.6,,,
Washington County Schools,940314,Pines Elementary,Northeast,PK-05,Y,F,35,23.9,79.0,Met,-0.19,D,42,29.9,88.8,Exceeded,3.55
Washington County Schools,940328,Washington County Middle,Northeast,06-08,Y,D,41,29.1,88.5,Exceeded,3.43,F,36,23.6,87.6,Exceeded,3.06
Watauga County Schools,950308,Bethel Elementary,Northwest,PK-08,Y,C,55,51.1,72.4,Met,-1.52,D,53,47.7,74.8,Met,-1.04
Watauga County Schools,950312,Blowing Rock Elementary,Northwest,PK-08,,B,76,73.2,86.5,Exceeded,2.62,B,74,72.9,77.9,Met,-0.41
Watauga County Schools,950316,Cove Creek Elementary,Northwest,PK-08,Y,C,62,56.4,83.2,Met,1.31,C,59,54.7,74.3,Met,-1.13
Watauga County Schools,950320,Green Valley Elementary,Northwest,PK-08,Y,D,53,47.1,76.9,Met,-0.62,D,53,45.7,82.1,Met,0.86
Watauga County Schools,950322,Hardin Park Elementary,Northwest,PK-08,Y,C,67,61.3,89.3,Exceeded,3.72,B,77,72.3,93.3,Exceeded,6.02
Watauga County Schools,950324,Mabel Elementary,Northwest,PK-08,Y,D,50,42.1,83.2,Met,1.28,D,54,46.3,86.4,Exceeded,2.58
Watauga County Schools,950328,Parkway Elementary,Northwest,PK-08,,B,74,70.1,88.3,Exceeded,3.35,B,77,72.6,93.7,Exceeded,6.25
Watauga County Schools,950332,Valle Crucis Elementary,Northwest,PK-08,Y,C,66,64.1,74.2,Met,-1.15,C,66,60.9,87.6,Exceeded,3.05
Watauga County Schools,950334,Watauga Virtual Academy,Northwest,0K-08,,B,73,70.8,84.1,Met,1.64,C,60,54.2,82.1,Met,0.87
Wayne County Public Schools,960312,Brogden Middle,Southeast,05-08,Y,F,28,20.7,55.1,Not Met,-6.92,F,28,19.6,61.8,Not Met,-3.63
Wayne County Public Schools,960314,Brogden Primary,Southeast,PK-04,Y,F,39,32.8,61.4,Not Met,-3.71,D,45,35.7,80.5,Met,0.22
Wayne County Public Schools,960316,Carver Elementary,Southeast,PK-04,Y,F,39,29.3,79.0,Met,-0.19,D,48,36.7,93.5,Exceeded,6.12
Wayne County Public Schools,960318,Carver Heights Elementary,Southeast,03-05,Y,F,37,25.9,80.2,Met,0.10,F,35,23.2,80.4,Met,0.17
Wayne County Public Schools,960326,Dillard Middle,Southeast,06-08,Y,F,35,24.5,76.2,Met,-0.76,F,26,11.7,84.1,Met,1.66
Wayne County Public Schools,960329,Eastern Wayne Elementary,Southeast,PK-05,Y,F,36,27.5,70.2,Met,-1.95,D,44,34.3,82.0,Met,0.82
Wayne County Public Schools,960331,Eastern Wayne Middle,Southeast,06-08,Y,D,45,35.6,82.9,Met,1.18,F,37,28.3,69.6,Not Met,-2.07
Wayne County Public Schools,960334,Fremont STARS Elementary,Southeast,PK-05,Y,D,53,47.3,73.3,Met,-1.34,C,56,53.6,67.3,Not Met,-2.53
Wayne County Public Schools,960336,Grantham Elementary,Southeast,0K-04,Y,C,57,50.3,84.6,Met,1.85,B,77,72.3,97.0,Exceeded,8.21
Wayne County Public Schools,960338,Grantham Middle,Southeast,05-08,Y,F,34,27.2,62.0,Not Met,-3.60,F,37,31.4,61.6,Not Met,-3.68
Wayne County Public Schools,960340,Greenwood Middle,Southeast,05-08,Y,D,42,38.1,59.9,Not Met,-4.06,C,58,49.5,90.2,Exceeded,4.12
Wayne County Public Schools,960344,Meadow Lane Elementary,Southeast,PK-05,Y,C,63,58.0,84.4,Met,1.77,C,63,61.5,67.9,Not Met,-2.41
Wayne County Public Schools,960348,Mount Olive Middle,Southeast,05-08,Y,F,36,29.1,61.5,Not Met,-3.70,F,39,28.4,79.3,Met,-0.13
Wayne County Public Schools,960360,Norwayne Middle,Southeast,06-08,Y,D,49,44.3,68.7,Not Met,-2.26,C,64,56.8,90.4,Exceeded,4.27
Wayne County Public Schools,960370,Rosewood Elementary,Southeast,PK-05,Y,D,53,44.6,84.4,Met,1.77,C,60,54.1,85.2,Exceeded,2.08
Wayne County Public Schools,960374,Rosewood Middle,Southeast,06-08,Y,D,51,43.3,81.3,Met,0.54,C,57,48.1,90.4,Exceeded,4.25
Wayne County Public Schools,960382,Spring Creek Elementary,Southeast,PK-04,Y,D,49,40.9,79.9,Met,-0.02,C,63,53.7,98.4,Exceeded,9.05
Wayne County Public Schools,960387,Spring Creek Middle,Southeast,05-08,Y,D,42,35.7,69.4,Not Met,-2.11,D,49,45.6,61.8,Not Met,-3.64
Wayne County Public Schools,960388,Tommy's Road Elementary,Southeast,PK-05,Y,D,41,32.5,72.6,Met,-1.47,D,44,35.6,76.4,Met,-0.71
Wayne County Public Schools,960450,Northeast Elementary,Southeast,PK-05,Y,D,50,46.3,65.4,Not Met,-2.91,C,55,54.9,56.6,Not Met,-5.99
Wayne County Public Schools,960454,Northwest Elementary,Southeast,0K-05,Y,C,59,51.7,86.0,Exceeded,2.43,C,68,60.1,100.0,Exceeded,10.52
Wayne County Public Schools,960700,Wayne School of Engineering,Southeast,06-13,,B,76,76.3,75.5,Met,-0.90,B,81,82.4,73.8,Met,-1.23
Wilkes County Schools,970308,Boomer-Ferguson Elementary School,Northwest,PK-05,Y,D,45,36.5,81.1,Met,0.47,D,45,40.4,65.7,Not Met,-2.86
Wilkes County Schools,970310,C B Eller Elementary School,Northwest,PK-05,Y,B,70,66.7,82.3,Met,0.93,B,77,82.2,55.0,Not Met,-7.00
Wilkes County Schools,970312,C C Wright Elementary School,Northwest,PK-05,Y,D,51,48.1,62.5,Not Met,-3.49,D,51,49.6,57.9,Not Met,-5.23
Wilkes County Schools,970315,Central Wilkes Middle School,Northwest,06-08,,D,49,44.6,67.4,Not Met,-2.52,D,44,41.1,56.5,Not Met,-6.07
Wilkes County Schools,970322,East Wilkes Middle School,Northwest,06-08,,C,62,58.5,76.2,Met,-0.75,C,55,54.1,57.5,Not Met,-5.50
Wilkes County Schools,970337,Millers Creek Elementary School,Northwest,PK-05,Y,C,62,56.4,86.0,Exceeded,2.42,B,76,74.6,82.4,Met,0.97
Wilkes County Schools,970340,Moravian Falls Elementary School,Northwest,PK-05,Y,B,80,80.0,81.6,Met,0.66,A,89,90.0,84.2,Met,1.69
Wilkes County Schools,970344,Mount Pleasant Elementary School,Northwest,PK-05,Y,C,58,52.4,81.9,Met,0.76,C,60,57.1,71.3,Met,-1.73
Wilkes County Schools,970348,Mountain View Elementary School,Northwest,PK-05,Y,C,56,49.7,82.7,Met,1.11,C,56,53.9,65.6,Not Met,-2.87
Wilkes County Schools,970352,Mulberry Elementary School,Northwest,PK-05,Y,C,65,60.2,84.0,Met,1.61,B,73,74.3,68.2,Not Met,-2.36
Wilkes County Schools,970358,North Wilkes Middle School,Northwest,06-08,,C,60,54.7,80.0,Met,0.02,C,55,51.8,68.3,Not Met,-2.33
Wilkes County Schools,970360,North Wilkesboro Elementary School,Northwest,PK-05,Y,D,53,45.8,83.1,Met,1.24,C,59,55.0,73.5,Met,-1.29
Wilkes County Schools,970368,Roaring River Elementary School,Northwest,PK-05,Y,C,61,56.3,82.2,Met,0.90,C,60,57.7,71.3,Met,-1.73
Wilkes County Schools,970370,Ronda-Clingman Elementary School,Northwest,PK-05,Y,C,67,64.0,76.5,Met,-0.69,B,76,77.9,67.0,Not Met,-2.59
Wilkes County Schools,970376,Traphill Elementary School,Northwest,PK-05,Y,C,55,47.7,83.3,Met,1.32,C,61,61.4,,,
Wilkes County Schools,970389,West Wilkes Middle School,Northwest,06-08,,C,62,56.0,85.4,Exceeded,2.17,C,55,54.1,58.7,Not Met,-4.73
Wilkes County Schools,970392,Wilkesboro Elementary School,Northwest,PK-05,Y,C,61,56.1,81.4,Met,0.59,C,65,65.2,64.8,Not Met,-3.04
Wilson County Schools,980308,B O Barnes Elementary,North Central,0K-05,Y,F,39,27.8,82.1,Met,0.84,D,54,44.4,94.0,Exceeded,6.44
Wilson County Schools,980317,Charles H Darden Middle,North Central,06-08,Y,D,40,29.7,80.3,Met,0.12,F,24,16.9,53.3,Not Met,-7.99
Wilson County Schools,980320,Frederick Douglass Elementary,North Central,0K-05,Y,D,53,45.5,83.5,Met,1.43,C,58,51.7,83.5,Met,1.40
Wilson County Schools,980324,Elm City Middle,North Central,06-08,,C,62,59.9,72.0,Met,-1.59,C,56,53.2,68.1,Not Met,-2.37
Wilson County Schools,980338,Forest Hills Middle,North Central,06-08,Y,D,51,45.0,77.0,Met,-0.59,C,56,46.6,91.8,Exceeded,5.11
Wilson County Schools,980340,Gardners Elementary,North Central,0K-05,Y,C,65,59.3,86.7,Exceeded,2.71,B,74,71.3,84.5,Met,1.80
Wilson County Schools,980344,John W Jones Elementary,North Central,PK-05,Y,D,49,42.5,75.8,Met,-0.83,D,52,45.1,81.3,Met,0.53
Wilson County Schools,980348,Lee Woodard Elementary,North Central,0K-05,Y,D,46,36.7,80.7,Met,0.28,C,59,50.6,90.5,Exceeded,4.34
Wilson County Schools,980352,Lucama Elementary,North Central,0K-05,Y,B,74,69.9,90.0,Exceeded,4.02,A,86,83.1,97.4,Exceeded,8.46
Wilson County Schools,980356,Margaret Hearne Elementary,North Central,PK-05,Y,F,36,26.4,76.6,Met,-0.68,D,43,32.5,87.4,Exceeded,2.96
Wilson County Schools,980357,Vick Elementary,North Central,PK-05,Y,F,30,20.0,67.6,Not Met,-2.47,F,27,13.8,80.8,Met,0.35
Wilson County Schools,980360,New Hope Elementary,North Central,0K-05,,B,74,71.3,82.3,Met,0.93,B,84,81.9,90.1,Exceeded,4.11
Wilson County Schools,980364,Rock Ridge Elementary,North Central,0K-05,,B,78,74.4,90.8,Exceeded,4.53,A,89,89.3,87.4,Exceeded,2.96
Wilson County Schools,980380,Speight Middle,North Central,06-08,Y,D,52,48.6,67.3,Not Met,-2.53,F,38,33.2,58.6,Not Met,-4.79
Wilson County Schools,980384,Springfield Middle,North Central,06-08,,D,54,53.2,59.6,Not Met,-4.19,C,56,55.9,58.6,Not Met,-4.81
Wilson County Schools,980388,Stantonsburg Elementary,North Central,0K-05,Y,D,44,34.4,83.3,Met,1.35,C,63,58.1,84.2,Met,1.70
Wilson County Schools,980390,Toisnot Middle,North Central,06-08,Y,D,41,34.6,64.5,Not Met,-3.09,F,32,25.4,60.3,Not Met,-3.93
Wilson County Schools,980392,Vinson-Bynum Elementary,North Central,0K-05,Y,C,56,48.7,86.0,Exceeded,2.40,C,59,51.8,85.8,Exceeded,2.34
Wilson County Schools,980396,Wells Elementary,North Central,0K-05,Y,C,56,50.0,81.3,Met,0.52,C,57,48.6,91.5,Exceeded,4.92
Wilson County Schools,980400,Winstead Elementary,North Central,0K-05,Y,D,46,35.9,84.8,Met,1.95,C,55,46.4,91.1,Exceeded,4.71
Wilson County Schools,980500,Wilson Academy of Virtual Education,North Central,03-12,,B,76,74.4,80.6,Met,0.26,C,64,61.5,74.5,Met,-1.10
Yadkin County Schools,990304,Boonville Elementary,Piedmont-Triad,PK-12,Y,D,54,49.7,69.9,Not Met,-2.02,D,54,54.4,53.3,Not Met,-8.02
Yadkin County Schools,990308,Courtney Elementary,Piedmont-Triad,PK-05,Y,D,53,46.5,81.4,Met,0.56,D,54,47.5,77.7,Met,-0.45
Yadkin County Schools,990312,East Bend Elementary,Piedmont-Triad,PK-05,Y,D,53,45.7,83.3,Met,1.33,B,70,70.3,69.9,Not Met,-2.02
Yadkin County Schools,990316,Fall Creek Elementary,Piedmont-Triad,PK-05,Y,C,59,52.6,84.5,Met,1.82,C,67,63.9,79.8,Met,-0.03
Yadkin County Schools,990320,Forbush Elementary,Piedmont-Triad,PK-05,,C,61,58.1,70.4,Met,-1.91,B,71,72.0,68.0,Not Met,-2.39
Yadkin County Schools,990321,Forbush Middle,Piedmont-Triad,06-08,,D,50,46.5,63.1,Not Met,-3.38,D,51,49.6,56.0,Not Met,-6.35
Yadkin County Schools,990324,Jonesville Elementary,Piedmont-Triad,PK-05,Y,D,49,41.5,80.3,Met,0.15,D,50,43.8,75.0,Met,-0.99
Yadkin County Schools,990325,Starmount Middle,Piedmont-Triad,06-09,,D,44,38.8,63.3,Not Met,-3.33,D,44,40.6,56.9,Not Met,-5.86
Yadkin County Schools,990328,West Yadkin Elementary,Piedmont-Triad,PK-05,Y,D,54,46.8,84.5,Met,1.83,D,52,50.7,55.7,Not Met,-6.57
Yadkin County Schools,990336,Yadkinville Elementary,Piedmont-Triad,PK-08,Y,D,44,38.0,66.8,Not Met,-2.64,D,52,50.5,56.1,Not Met,-6.32
Yancey County Schools,995310,Blue Ridge Elementary,Northwest,PK-05,Y,C,64,61.5,71.5,Met,-1.69,C,64,64.7,58.7,Not Met,-4.73
Yancey County Schools,995312,Burnsville Elementary,Northwest,PK-05,Y,C,60,52.9,87.2,Exceeded,2.89,C,64,63.5,67.9,Not Met,-2.42
